Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Salary_range
MCF-2020-0045240,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,0,Professional,Sciences  Laboratory  R&D,Developing models Creating visualizations effectively. Develop - Perform transformation data data sources Process optimization based Ensure integrity security data PhD Computer Science Mathematics / Statistics degree Electrical Engineering Physics Civil Engineering Chemical Biochemical Engineering data analytics Expertise solving Experience working field statistics data mining Experience manipulation Experience applying Machine Learning algorithms Proficiency languages Python R Matlab Java SQL Experience working cross-functional environment stakeholder Excellent written verbal communication Ability independently well teams highly desired,4500.0,9000.0,6750.0,Med
MCF-2020-0045289,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,0,Professional,Sciences  Laboratory  R&D,Protein Biomarker detection clustering Correlation analysis 2/3/4D image segmentation Image Gene Anomaly detection PhD Computer Science Statistics Data Science Strong deep learning applied Expertise one healthcare topics detection 3D segmentation Ability independently well teams highly desired Good communication proposals reports publications Proficiency spoken written English Experience one TensorFlow Pytorch Theano Caffe CNTK Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB) Experience machine learning scale plus,4500.0,9000.0,6750.0,Med
MCF-2020-0045282,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 27 Mar 2020,0,Professional,Sciences  Laboratory  R&D,Protein Biomarker detection clustering Correlation analysis 2/3/4D image segmentation Image Gene Anomaly detection PhD Computer Science Statistics Data Science Strong deep learning applied Expertise one healthcare topics detection 3D segmentation Ability independently well teams highly desired Good communication proposals reports publications Proficiency spoken written English Experience one TensorFlow Pytorch Theano Caffe CNTK Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB) Experience machine learning scale plus,4500.0,9000.0,6750.0,Med
MCF-2020-0071809,Permanent,Data Scientist,IBM INNOVATION SERVICES PTE. LTD.,Posted 26 Mar 2020,3,Professional,Information Technology,You   lead designing processes   analyse structured unstructured data   sources insights Collaborate   services subject matter experts (SMEs) drive   analytical You   enable ensuring   applying data science  artificial intelligence Identify  new data sources multiple   findings analysis   experiments IBM teams stakeholders Develop models analysis across range Quote Cash functions Design   tracking actions   analyse impact business outcomes implementation   deployment analytics Design efficient Spark Monitor Spark cluster performance A  Degree quantitative field (Statistics Mathematics Operations  Research Economics Bioinformatics Computer Science ). A   research quantitative field  plus. 3-5 working data sets models Strong statistical Excellent  understanding machine learning techniques algorithms  Logistic Regression Decision Trees Random Forrest Support Vector  Machines Clustering Expertise   various data ( .e. CRISP-DM  & engineering well  evaluation validation) Experience   libraries R Python  (NumPy Pandas Scikit) SQL noSQL Scala Weka MatLab Experience data visualization techniques tools Cognos Analytics Tableau Plotly Familiarity   data science limited IBM  Cloud products (e.g. Watson Assistant Watson Studio Bluemix ) Knowledge data mining data Great communication (oral written) strong player Ability learn fast- Ability problems Experience NoSQL databases Cloudant MongoDB Cassandra HBase Experience distributed like Hadoop stack Spark Pig Hive . Experience working Linux scripting languages Bash Experience Deep Learning frameworks TensorFlow Caffe CNTK Torch DL4J,6500.0,12000.0,9250.0,High
MCF-2020-0072203,Permanent,Data Engineer,PUMAS AUTOMATION & ROBOTICS PTE LTD,Posted 26 Mar 2020,2,Professional,Consulting Engineering Information Technology,Develop architecture IIoT data ingestion processing solutions. Provide customers data analytics intelligence. Engineer infrastructure big- real- detection . Background computer science engineering. Ability data       . Deep predictive data analytics. Industry data science -structured non- . Good Python . Additional JavaScript REST Java .net plus. Good understanding software development life cycle requirements      testing deployment. Sound Machine Learning (ML) building Deep Learning (DL) models plus. Experience plus. Exposure Big eg. Cassandra Hadoop Apache Spark. Previous exposure IaaS platforms Azure Google AWS.,3500.0,6000.0,4750.0,Low
MCF-2020-0072360,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,5,Management,Information Technology,Data mining data documents identify patterns Design intelligence (AI) machine learning (ML) engines - experiments Application AI ML information retrieval (IR) Conduct   research apply state- - - scale real Documentation Mentoring PhD computer science Minimum 5 software development Experience background AI ML data science Passionate AI- applications Proficient one programming languages (e.g. Python C/C++ .) /modules Experience large- processing analytics Good publication,5500.0,8250.0,6875.0,Med
MCF-2020-0072378,Contract Permanent,Research Engineer (Deep Learning 2.0) I2R,A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,0,Jr Executive,Sciences  Laboratory  R&D,Minimum Bachelor Computer Science Statistics Data Science intensive fields expertise one : Experience corporate application oriented environments plus Ability independently well teams highly desired Good communication proposals reports publications Experience one Tensor Flow Theano Caffe CNTK. Skills Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB) Computer vision deep learning desirable,3900.0,7800.0,5850.0,Med
MCF-2020-0071969,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,5,Management,Information Technology,Design language processing (NLP) algorithms models analysis e.g. - resolution Application NLP information retrieval (IR) Conduct   research apply state- - - scale real Documentation Mentoring PhD computer science Minimum 5 software development Experience background NLP Passionate NLP AI applications Proficient one programming languages (e.g. Python C/C++ .) /modules Experience large- processing analytics Good publication,5500.0,8250.0,6875.0,Med
MCF-2020-0072375,Contract Permanent,Senior /  Research Engineer (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,0,Professional,Sciences  Laboratory  R&D,Biomarker detection clustering Correlation analysis. 2/3D image segmentation Image Gene Anomaly detection Bachelors Masters Computer Science Statistics Data Science intensive fields Strong deep learning applied Expertise one healthcare topics detection image . Ability independently well teams highly desired. Good communication proposals reports publications. Proficiency spoken written English. Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB). Experience one TensorFlow Pytorch Theano Caffe CNTK Skills Experience machine learning scale plus,3900.0,7800.0,5850.0,Med
MCF-2020-0072372,Contract Permanent,Senior /  Research Engineer (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,0,Jr Executive,Sciences  Laboratory  R&D,Biomarker detection clustering Correlation analysis. 2/3D image segmentation Image Gene Anomaly detection Bachelors Masters Computer Science Statistics Data Science intensive fields Strong deep learning applied Expertise one healthcare topics detection image . Ability independently well teams highly desired. Good communication proposals reports publications. Proficiency spoken written English. Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB). Experience one TensorFlow Pytorch Theano Caffe CNTK Skills Experience machine learning scale plus,3000.0,5500.0,4250.0,Low
JOB-2020-0000817,Permanent,Data Science & AI Programme Manager,GOVERNMENT TECHNOLOGY AGENCY,Posted 25 Mar 2020,0,Management,Information Technology Public  Civil Service,Drive across Whole- -Government Data Science Develop software methodologies best practices Data Science & AI landscape Forge efforts Collaborate organisations engage Data Science & AI community Data Science- Strategize maintain Data Science & AI tools Whole- -Government Manage aspects  limited  execution Degree Diploma Computer Science Information Technology equivalent Minimum 3 relevant IT consulting/project management business analytics Experience working large-scale projects aspects planning stakeholder management Good understanding Confident group Strong understanding Data Science & AI Big Data architecture Excellent English language oral written Comfortable independently Knowledge Data Science tools working Data Science & AI domain prior projects,5500.0,8000.0,6750.0,Med
MCF-2020-0071269,Permanent,Software Architect (Data Science),YOJEE PTE. LTD.,Posted 25 Mar 2020,2,Sr Executive,Engineering,Prototyping & learning algorithms cutting  problems finding planning NP- . Build maintain scalable data pipeline data . Basic preparation. Build analysis visualisation . Build solutions Big Data technologies respond real time. Minimum Bachelor Degree Computer Science Computer Engineering equivalent . Minimum 2 machine learning data analysis. Proficient software programming database Python Scala Java SQL scikit-learn MapReduce Spark Apache Hadoop. Knowledge Big Data Frameworks Spark Hadoop . Proficient statistical models Regression Clustering Classification . Experience working agile software development practices. Ability distributed . Singaporeans PRs encouraged apply position. Scikit-learn. Machine learning . Scala Java. Proficient statistical models Regression Clustering Classification .,5700.0,7400.0,6550.0,Med
MCF-2020-0070847,Permanent,Manager (Data Security) (JD#5939),SCIENTE INTERNATIONAL PTE. LTD.,Posted 25 Mar 2020,5,Management,Information Technology,Degree Computer Science Engineering Information Technology Information Security Data Science Minimum 3 relevant Data standards Good Information Security Governance Risk Management Compliance Regulatory Knowledge challenges Some Ability articulate enterprise data vision translate steps Well versed stakeholder management excellent communication Should proactive . CISSP CISM CISA certifications Experience data science data platforms. Design implement data processes Work Data Security policies support Enterprise Data Ecosystem Ensure enterprise assess risk ( ) involved Understand data flows/ data sources support enhancement transformation data use Engage stakeholders practices Work Security Practitioners .,4500.0,8000.0,6250.0,Med
