Job_Id,Emp_Type,Job_Title,Company,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Salary_range
MCF-2020-0045240,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,0,Professional,Sciences  Laboratory  R&D,Developing models Creating visualizations effectively. Develop - Perform transformation data sources Process optimization based data Ensure integrity security data PhD Computer Science Mathematics / Statistics degree Electrical Engineering Physics Civil Engineering Chemical Biochemical Engineering data analytics Expertise solving Experience working field statistics data mining Experience manipulation Experience applying Machine Learning algorithms Proficiency languages Python R Matlab Java SQL Experience working cross-functional environment stakeholder Excellent written verbal communication Ability independently well teams highly desired,4500.0,9000.0,6750.0,Med
MCF-2020-0045289,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,0,Professional,Sciences  Laboratory  R&D,Protein Biomarker detection clustering Correlation analysis 2/3/4D image segmentation Image Gene Anomaly detection PhD Computer Science Statistics Data Science Strong deep learning applied Expertise one healthcare topics detection 3D segmentation Ability independently well teams highly desired Good communication proposals reports publications Proficiency spoken written English Experience one TensorFlow Pytorch Theano Caffe CNTK Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB) Experience machine learning scale plus,4500.0,9000.0,6750.0,Med
MCF-2020-0045282,Contract Permanent,Scientist (Machine Intellection) I2R,A*STAR RESEARCH ENTITIES,0,Professional,Sciences  Laboratory  R&D,Protein Biomarker detection clustering Correlation analysis 2/3/4D image segmentation Image Gene Anomaly detection PhD Computer Science Statistics Data Science Strong deep learning applied Expertise one healthcare topics detection 3D segmentation Ability independently well teams highly desired Good communication proposals reports publications Proficiency spoken written English Experience one TensorFlow Pytorch Theano Caffe CNTK Strong programming abilities (e.g. Perl Bash C/C++ Java Python R MATLAB) Experience machine learning scale plus,4500.0,9000.0,6750.0,Med
MCF-2020-0072490,Permanent,Data Science Experimentation Specialist Apple Media Products,APPLE SOUTH ASIA PTE. LTD.,10,Sr Executive,Engineering,,8000.0,16000.0,12000.0,High
MCF-2020-0072489,Permanent,Data Science Experimentation Specialist Apple Media Products,APPLE SOUTH ASIA PTE. LTD.,5,Sr Executive,Engineering,,6000.0,11000.0,8500.0,High
MCF-2020-0071809,Permanent,Data Scientist,IBM INNOVATION SERVICES PTE. LTD.,3,Professional,Information Technology,You   lead designing processes   analyse structured unstructured data   sources insights Collaborate   services subject matter experts (SMEs) drive   analytical You   enable ensuring   applying data science  artificial intelligence Identify  new data sources multiple  sources; interpret findings analysis   experiments IBM teams stakeholders Develop models analysis across range Quote Cash functions Design   tracking   analyse impact business outcomes implementation   deployment analytics Design efficient Spark Monitor Spark cluster performance A  Degree quantitative field (Statistics Mathematics Operations  Research Economics Bioinformatics Computer Science ). A   research quantitative field  plus. 3-5 working data sets models Strong statistical Excellent  understanding machine learning techniques algorithms  Logistic Regression Decision Trees Random Forrest Support Vector  Machines Clustering Expertise   various data (.e. CRISP-DM  & engineering well  evaluation validation) Experience   libraries R Python  (NumPy Pandas Scikit) SQL noSQL Scala Weka MatLab Experience data visualization techniques tools Cognos Analytics Tableau Plotly Familiarity   data science limited IBM  Cloud products (e.g. Watson Assistant Watson Studio Bluemix ) Knowledge data mining data Great communication (oral written) strong player Ability learn fast- Ability problems Experience NoSQL databases Cloudant MongoDB Cassandra HBase Experience distributed like Hadoop stack Spark Pig Hive . Experience working Linux tools scripting languages Bash Experience Deep Learning frameworks TensorFlow Caffe CNTK Torch DL4J,6500.0,12000.0,9250.0,High
MCF-2020-0072203,Permanent,Data Engineer,PUMAS AUTOMATION & ROBOTICS PTE LTD,2,Professional,Consulting Engineering Information Technology,Develop architecture IIoT data ingestion processing solutions. Provide customers data analytics intelligence. Engineer infrastructure big- real- detection . Background computer science engineering. Ability      . Deep predictive data analytics. Industry data science -structured non-. Good Python . Additional JavaScript REST Java .net plus. Good understanding software cycle requirements      testing deployment. Sound Machine Learning (ML) building Deep Learning (DL) models plus. Experience plus. Exposure Big eg. Cassandra Hadoop Apache Spark. Previous exposure IaaS platforms Azure Google AWS.,3500.0,6000.0,4750.0,Low
MCF-2020-0071983,Permanent,Data Scientist,SINGAPORE TECHNOLOGIES ENGINEERING LTD,5,Management,Information Technology,,8000.0,10500.0,9250.0,High
MCF-2020-0071980,Permanent,Data Scientist,SINGAPORE TECHNOLOGIES ENGINEERING LTD,4,Management,Information Technology,,5500.0,8000.0,6750.0,Med
MCF-2020-0072360,Contract Permanent,Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,5,Management,Information Technology,Data mining identify patterns Design intelligence (AI) machine learning (ML) - experiments Application AI ML information retrieval (IR) Conduct âtranslationalâ research apply state--- scale real Documentation Mentoring PhD computer science Minimum 5 software development Experience background AI ML data science Passionate AI- applications Proficient one programming languages (e.g. Python C/C++ .) /modules Experience large- processing analytics Good publication,5500.0,8250.0,6875.0,Med
